Candidate Rank,Priority Tier,Center Name,City,State/Country,Organization Type,Primary Wildlife Focus,Website URL,Link Hub URL,Facebook Handle,Facebook URL,Instagram Handle,Instagram URL,TikTok Handle,TikTok URL,YouTube Handle,YouTube URL,X / Other URL,Known Social URL Count,Verification Status,Inclusion Rationale,Source URL,Apify Search Query,FB Followers,IG Followers,TikTok Followers,YouTube Subscribers,Recent Posts 30D,Avg Engagement / Post,Last Scraped Date,Scrape Notes
12,A,Austin Wildlife Rescue,Austin,TX,Wildlife rehabilitation center,Central Texas native wildlife; intake and rehab; education,https://www.austinwildliferescue.org/,,@austinwildliferescue,https://www.facebook.com/austinwildliferescue,@austinwildliferescue,https://www.instagram.com/austinwildliferescue/,@austinwildliferescue,https://www.tiktok.com/@austinwildliferescue,@AustinWildlifeRescue,https://www.youtube.com/@AustinWildlifeRescue,,4,High-confidence official seed; verify platform-specific URLs,Active urban wildlife rehab with high education value,https://www.austinwildliferescue.org/,"""Austin Wildlife Rescue"" wildlife rehabilitation official social media",,,,,,,,
13,A,PAWS Wildlife Center,Lynnwood / Snohomish,WA,Wildlife center,Native wildlife rehabilitation; companion animal nonprofit parent,https://www.paws.org/wildlife/,,@PAWSWA,https://www.facebook.com/PAWSWA,@paws_wa,https://www.instagram.com/paws_wa/,@paws_wa,https://www.tiktok.com/@paws_wa,@PAWSWA,https://www.youtube.com/@PAWSWA,https://x.com/paws_wa,5,Uses parent-organization social accounts; filter wildlife content,Major Pacific Northwest wildlife rehabilitation program,https://www.paws.org/wildlife/,"""PAWS Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
14,A,Greenwood Wildlife Rehabilitation Center,Lyons,CO,Wildlife rehabilitation center,"Birds, waterfowl, mammals; Colorado Front Range",https://www.greenwoodwildlife.org/,,@GreenwoodWildlife,https://www.facebook.com/GreenwoodWildlife,@greenwoodwildlife,https://www.instagram.com/greenwoodwildlife/,@greenwoodwildlife,https://www.tiktok.com/@greenwoodwildlife,@GreenwoodWildlife,https://www.youtube.com/@GreenwoodWildlife,,4,Official website confirmed; social seed to verify,"Only center treating birds, waterfowl, and mammals across much of Front Range",https://www.greenwoodwildlife.org/,"""Greenwood Wildlife Rehabilitation Center"" wildlife rehabilitation official social media",,,,,,,,
15,A,South Florida Wildlife Center,Fort Lauderdale,FL,Wildlife hospital / rehabilitation,"South Florida native wildlife; rescue, rehab, education",https://www.southfloridawildlifecenter.org/,https://linktr.ee/southfloridawildlifecenter,@southfloridawildlifecenter,https://www.facebook.com/southfloridawildlifecenter,@southfloridawildlifecenter,https://www.instagram.com/southfloridawildlifecenter/,@southfloridawildlifecenter,https://www.tiktok.com/@southfloridawildlifecenter,@southfloridawildlifecenter,https://www.youtube.com/@southfloridawildlifecenter,,5,Linktree search snippet confirmed,Large urban wildlife hospital with broad species education,https://www.southfloridawildlifecenter.org/,"""South Florida Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
16,A,Pelican Harbor Seabird Station,Miami,FL,Wildlife hospital / seabird rescue,Native wildlife and seabirds; Biscayne Bay region,https://www.pelicanharbor.org/,,@PelicanHarbor,https://www.facebook.com/PelicanHarbor,@pelicanharbor,https://www.instagram.com/pelicanharbor/,@pelicanharbor,https://www.tiktok.com/@pelicanharbor,@PelicanHarbor,https://www.youtube.com/@PelicanHarbor,,4,High-confidence official seed; verify platform-specific URLs,Strong rescue/rehab education account; marine and urban wildlife focus,https://www.pelicanharbor.org/,"""Pelican Harbor Seabird Station"" wildlife rehabilitation official social media",,,,,,,,
17,A,Florida Keys Wild Bird Center,Tavernier,FL,Wild bird hospital / sanctuary,"Wild birds; rescue, rehab, education",https://www.keepthemflying.org/,,@flkeyswildbird,https://www.facebook.com/flkeyswildbird,@flkeyswildbirdcenter,https://www.instagram.com/flkeyswildbirdcenter/,@flkeyswildbirdcenter,https://www.tiktok.com/@flkeyswildbirdcenter,@flkeyswildbirdcenter,https://www.youtube.com/@flkeyswildbirdcenter,,4,High-confidence official seed; verify platform-specific URLs,Recognizable bird rescue/rehab brand with education content,https://www.keepthemflying.org/,"""Florida Keys Wild Bird Center"" wildlife rehabilitation official social media",,,,,,,,
18,A,Florida Wildlife Hospital,Palm Shores,FL,Wildlife hospital,Native Florida wildlife; medical care and rehabilitation,https://floridawildlifehospital.org/,,@FloridaWildlifeHospital,https://www.facebook.com/FloridaWildlifeHospital,@floridawildlifehospital,https://www.instagram.com/floridawildlifehospital/,@floridawildlifehospital,https://www.tiktok.com/@floridawildlifehospital,@FloridaWildlifeHospital,https://www.youtube.com/@FloridaWildlifeHospital,,4,Official website confirmed; social seed to verify,High-volume wildlife hospital with patient education content,https://floridawildlifehospital.org/,"""Florida Wildlife Hospital"" wildlife rehabilitation official social media",,,,,,,,
19,A,Busch Wildlife Sanctuary,Jupiter,FL,Wildlife rehab / sanctuary,"Native wildlife rehabilitation, sanctuary, education",https://buschwildlife.org/,,@BuschWildlifeSanctuary,https://www.facebook.com/BuschWildlifeSanctuary,@buschwildlife,https://www.instagram.com/buschwildlife/,@buschwildlife,https://www.tiktok.com/@buschwildlife,@BuschWildlife,https://www.youtube.com/@BuschWildlife,,4,High-confidence official seed; verify platform-specific URLs,Prominent Florida rescue/rehab/sanctuary with active education presence,https://buschwildlife.org/,"""Busch Wildlife Sanctuary"" wildlife rehabilitation official social media",,,,,,,,
20,A,Carolina Raptor Center,Huntersville,NC,Raptor hospital / education center,Raptors; rehabilitation; conservation education,https://carolinaraptorcenter.org/,,@CarolinaRaptorCenter,https://www.facebook.com/CarolinaRaptorCenter,@carolinaraptorcenter,https://www.instagram.com/carolinaraptorcenter/,@carolinaraptorcenter,https://www.tiktok.com/@carolinaraptorcenter,@CarolinaRaptorCenter,https://www.youtube.com/@CarolinaRaptorCenter,https://x.com/CLTRaptorCenter,5,High-confidence official seed; verify platform-specific URLs,High-profile raptor hospital with education-friendly content,https://carolinaraptorcenter.org/,"""Carolina Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
21,A,Carolina Wildlife Center,Columbia,SC,Wildlife rehabilitation center,"South Carolina native wildlife; rescue, rehab, education",https://carolinawildlife.org/,,@carolinawildlife,https://www.facebook.com/carolinawildlife,@carolinawildlifecenter,https://www.instagram.com/carolinawildlifecenter/,@carolinawildlifecenter,https://www.tiktok.com/@carolinawildlifecenter,@CarolinaWildlifeCenter,https://www.youtube.com/@CarolinaWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Statewide native wildlife rehab relevance with broad species content,https://carolinawildlife.org/,"""Carolina Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
22,A,New England Wildlife Center,Weymouth,MA,Wildlife hospital / education center,Wildlife veterinary care; education; training,https://www.newildlife.org/,,@NewEnglandWildlifeCenter,https://www.facebook.com/NewEnglandWildlifeCenter,@newenglandwildlifecenter,https://www.instagram.com/newenglandwildlifecenter/,@newenglandwildlifecenter,https://www.tiktok.com/@newenglandwildlifecenter,@NewEnglandWildlifeCenter,https://www.youtube.com/@NewEnglandWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Regional wildlife hospital with strong veterinary education orientation,https://www.newildlife.org/,"""New England Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
23,A,Cape Wildlife Center,Barnstable,MA,Wildlife hospital / rehabilitation,Cape Cod native wildlife; veterinary care,https://www.capewildlifecenter.com/,,@CapeWildlifeCenter,https://www.facebook.com/CapeWildlifeCenter,@capewildlifecenter,https://www.instagram.com/capewildlifecenter/,@capewildlifecenter,https://www.tiktok.com/@capewildlifecenter,@CapeWildlifeCenter,https://www.youtube.com/@CapeWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Prominent Massachusetts wildlife hospital; useful seasonal patient content,https://www.capewildlifecenter.com/,"""Cape Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
24,A,Center for Wildlife,Cape Neddick,ME,Wildlife medical clinic / education,"New England native wildlife; clinic, education, research",https://www.thecenterforwildlife.org/,,@centerforwildlife,https://www.facebook.com/centerforwildlife,@centerforwildlifemaine,https://www.instagram.com/centerforwildlifemaine/,@centerforwildlife,https://www.tiktok.com/@centerforwildlife,@CenterforWildlife,https://www.youtube.com/@CenterforWildlife,,4,High-confidence official seed; verify platform-specific URLs,Active education account with clinic/patient content,https://www.thecenterforwildlife.org/,"""Center for Wildlife"" wildlife rehabilitation official social media",,,,,,,,
25,A,Wild Bird Fund,New York,NY,Wildlife rehabilitation center,NYC wild birds and small wildlife; hospital care,https://www.wildbirdfund.org/,,@wildbirdfund,https://www.facebook.com/wildbirdfund,@wildbirdfund,https://www.instagram.com/wildbirdfund/,@wildbirdfund,https://www.tiktok.com/@wildbirdfund,@WildBirdFund,https://www.youtube.com/@WildBirdFund,https://x.com/wildbirdfund,5,High-confidence official seed; verify platform-specific URLs,Urban wildlife hospital with high educational value and strong social presence,https://www.wildbirdfund.org/,"""Wild Bird Fund"" wildlife rehabilitation official social media",,,,,,,,
26,B,The Raptor Trust,Millington,NJ,Raptor rehabilitation / education,"Wild birds, raptors; rehabilitation and education",https://theraptortrust.org/,,@TheRaptorTrust,https://www.facebook.com/TheRaptorTrust,@theraptortrust,https://www.instagram.com/theraptortrust/,@theraptortrust,https://www.tiktok.com/@theraptortrust,@TheRaptorTrust,https://www.youtube.com/@TheRaptorTrust,,4,High-confidence official seed; verify platform-specific URLs,Longstanding bird hospital; strong raptor education archive,https://theraptortrust.org/,"""The Raptor Trust"" wildlife rehabilitation official social media",,,,,,,,
27,B,Tri-State Bird Rescue & Research,Newark,DE,Bird rescue / research center,Oiled wildlife response; wild bird rehabilitation,https://tristatebird.org/,,@TriStateBirdRescue,https://www.facebook.com/TriStateBirdRescue,@tristatebirdrescue,https://www.instagram.com/tristatebirdrescue/,@tristatebirdrescue,https://www.tiktok.com/@tristatebirdrescue,@TriStateBirdRescue,https://www.youtube.com/@TriStateBirdRescue,https://x.com/TriStateBird,5,High-confidence official seed; verify platform-specific URLs,Authoritative avian rescue and oiled wildlife response expertise,https://tristatebird.org/,"""Tri-State Bird Rescue & Research"" wildlife rehabilitation official social media",,,,,,,,
28,B,Pacific Wildlife Care,Morro Bay,CA,Wildlife rehabilitation center,Central Coast native wildlife; hospital/rehab,https://pacificwildlifecare.org/,,@PacificWildlifeCare,https://www.facebook.com/PacificWildlifeCare,@pacificwildlifecare,https://www.instagram.com/pacificwildlifecare/,@pacificwildlifecare,https://www.tiktok.com/@pacificwildlifecare,@PacificWildlifeCare,https://www.youtube.com/@PacificWildlifeCare,,4,High-confidence official seed; verify platform-specific URLs,Active California wildlife rehab organization with patient education,https://pacificwildlifecare.org/,"""Pacific Wildlife Care"" wildlife rehabilitation official social media",,,,,,,,
29,B,Santa Barbara Wildlife Care Network,Santa Barbara,CA,Wildlife hospital / rehab,"Central Coast wildlife; bird, mammal, reptile care",https://www.sbwcn.org/,,@SBWildlifeCareNetwork,https://www.facebook.com/SBWildlifeCareNetwork,@sbwildlifecare,https://www.instagram.com/sbwildlifecare/,@sbwildlifecare,https://www.tiktok.com/@sbwildlifecare,@SBWildlifeCareNetwork,https://www.youtube.com/@SBWildlifeCareNetwork,,4,High-confidence official seed; verify platform-specific URLs,Large new wildlife hospital; strong visual patient content,https://www.sbwcn.org/,"""Santa Barbara Wildlife Care Network"" wildlife rehabilitation official social media",,,,,,,,
30,B,Wildlife Images Rehabilitation & Education Center,Grants Pass,OR,Wildlife rehab / education center,Native wildlife rehab; ambassadors; public education,https://wildlifeimages.org/,,@WildlifeImages,https://www.facebook.com/WildlifeImages,@wildlifeimages,https://www.instagram.com/wildlifeimages/,@wildlifeimages,https://www.tiktok.com/@wildlifeimages,@WildlifeImages,https://www.youtube.com/@WildlifeImages,,4,High-confidence official seed; verify platform-specific URLs,High-recognition Oregon rehab/education center,https://wildlifeimages.org/,"""Wildlife Images Rehabilitation & Education Center"" wildlife rehabilitation official social media",,,,,,,,
31,B,Chintimini Wildlife Center,Corvallis,OR,Wildlife rehabilitation / education,Native wildlife rehab; education programs,https://chintiminiwildlife.org/,https://linktr.ee/chintiminiwildlifecenter,@chintiminiwildlifecenter,https://www.facebook.com/chintiminiwildlifecenter,@chintiminiwildlifecenter,https://www.instagram.com/chintiminiwildlifecenter/,@chintiminiwildlifecenter,https://www.tiktok.com/@chintiminiwildlifecenter,@ChintiminiWildlifeCenter,https://www.youtube.com/@ChintiminiWildlifeCenter,,5,Linktree search snippet confirmed,Active multi-platform education/social seed,https://chintiminiwildlife.org/,"""Chintimini Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
32,B,Cascade Raptor Center,Eugene,OR,Raptor hospital / nature center,Raptor rehabilitation and public education,https://cascadesraptorcenter.org/,,@CascadeRaptorCenter,https://www.facebook.com/CascadeRaptorCenter,@cascaderaptorcenter,https://www.instagram.com/cascaderaptorcenter/,@cascaderaptorcenter,https://www.tiktok.com/@cascaderaptorcenter,@CascadeRaptorCenter,https://www.youtube.com/@CascadeRaptorCenter,,4,High-confidence official seed; verify platform-specific URLs,Strong raptor education and rehab content,https://cascadesraptorcenter.org/,"""Cascade Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
33,B,Bird Alliance of Oregon Wildlife Care Center,Portland,OR,Wildlife care center,Native wildlife care; conservation education,https://birdallianceoregon.org/our-work/rehabilitate-wildlife/,,@BirdAllianceOregon,https://www.facebook.com/BirdAllianceOregon,@birdallianceoregon,https://www.instagram.com/birdallianceoregon/,@birdallianceoregon,https://www.tiktok.com/@birdallianceoregon,@BirdAllianceOregon,https://www.youtube.com/@BirdAllianceOregon,,4,Formerly Portland Audubon; verify current platform handles,Major urban wildlife care center with content archive under rebrand,https://birdallianceoregon.org/our-work/rehabilitate-wildlife/,"""Bird Alliance of Oregon Wildlife Care Center"" wildlife rehabilitation official social media",,,,,,,,
34,B,Sarvey Wildlife Care Center,Arlington,WA,Wildlife hospital / rehab,Pacific Northwest native wildlife; medical and rehab care,https://sarveywildlife.org/,,@sarveywildlife,https://www.facebook.com/sarveywildlife,@sarveywildlife,https://www.instagram.com/sarveywildlife/,@sarveywildlife,https://www.tiktok.com/@sarveywildlife,@SarveyWildlife,https://www.youtube.com/@SarveyWildlife,,4,High-confidence official seed; verify platform-specific URLs,Known regional wildlife hospital with patient education posts,https://sarveywildlife.org/,"""Sarvey Wildlife Care Center"" wildlife rehabilitation official social media",,,,,,,,
35,B,Liberty Wildlife,Phoenix,AZ,Wildlife hospital / education,Arizona wildlife; raptors; rehabilitation and education,https://libertywildlife.org/,,@LibertyWildlifeAZ,https://www.facebook.com/LibertyWildlifeAZ,@libertywildlifeaz,https://www.instagram.com/libertywildlifeaz/,@libertywildlifeaz,https://www.tiktok.com/@libertywildlifeaz,@LibertyWildlife,https://www.youtube.com/@LibertyWildlife,https://x.com/LibertyWildlife,5,High-confidence official seed; verify platform-specific URLs,Prominent Arizona rehab/education organization with strong public programs,https://libertywildlife.org/,"""Liberty Wildlife"" wildlife rehabilitation official social media",,,,,,,,
36,B,Southwest Wildlife Conservation Center,Scottsdale,AZ,Wildlife rescue / sanctuary,"Mammal rescue, rehabilitation, sanctuary; education",https://www.southwestwildlife.org/,,@SWCCAZ,https://www.facebook.com/SWCCAZ,@southwestwildlife,https://www.instagram.com/southwestwildlife/,@southwestwildlife,https://www.tiktok.com/@southwestwildlife,@SouthwestWildlife,https://www.youtube.com/@SouthwestWildlife,https://x.com/SWCCaz,5,High-confidence official seed; verify platform-specific URLs,Strong rescue/sanctuary education account; useful for mammal content,https://www.southwestwildlife.org/,"""Southwest Wildlife Conservation Center"" wildlife rehabilitation official social media",,,,,,,,
37,B,Tucson Wildlife Center,Tucson,AZ,Wildlife hospital / rehab,Southern Arizona wildlife rescue and rehabilitation,https://tucsonwildlife.com/,,@TucsonWildlifeCenter,https://www.facebook.com/TucsonWildlifeCenter,@tucsonwildlifecenter,https://www.instagram.com/tucsonwildlifecenter/,@tucsonwildlifecenter,https://www.tiktok.com/@tucsonwildlifecenter,@TucsonWildlifeCenter,https://www.youtube.com/@TucsonWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Relevant desert wildlife hospital with public education content,https://tucsonwildlife.com/,"""Tucson Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
38,B,Southwest Wildlife Foundation of Utah / Enoch Wildlife Rescue,Cedar City,UT,Wildlife rescue / rehab / education,Birds of prey and native wildlife; YouTube education archive,https://www.gowildlife.org/,,@southwestwildlifefoundation,https://www.facebook.com/southwestwildlifefoundation,@swfgowildlife,https://www.instagram.com/swfgowildlife/,@gowildlifeorg,https://www.tiktok.com/@gowildlifeorg,@gowildlifeorg,https://www.youtube.com/gowildlifeorg,https://x.com/gowildlifeorg,5,Official website social links confirmed,Strong educational YouTube and cross-platform presence,https://www.gowildlife.org/,"""Southwest Wildlife Foundation of Utah / Enoch Wildlife Rescue"" wildlife rehabilitation official social media",,,,,,,,
39,B,Alaska Raptor Center,Sitka,AK,Raptor hospital / education,Bald eagles and raptors; rehabilitation and education,https://alaskaraptor.org/,,@AlaskaRaptorCenter,https://www.facebook.com/AlaskaRaptorCenter,@alaskaraptorcenter,https://www.instagram.com/alaskaraptorcenter/,@alaskaraptorcenter,https://www.tiktok.com/@alaskaraptorcenter,@AlaskaRaptorCenter,https://www.youtube.com/@AlaskaRaptorCenter,,4,High-confidence official seed; verify platform-specific URLs,High-recognition raptor rehabilitation center,https://alaskaraptor.org/,"""Alaska Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
40,B,Alaska SeaLife Center Wildlife Response,Seward,AK,Wildlife response / marine rehab,"Marine mammals and seabirds; rescue, rehabilitation, research",https://www.alaskasealife.org/,,@AlaskaSeaLifeCenter,https://www.facebook.com/AlaskaSeaLifeCenter,@alaskasealifecenter,https://www.instagram.com/alaskasealifecenter/,@alaskasealifecenter,https://www.tiktok.com/@alaskasealifecenter,@AlaskaSeaLifeCenter,https://www.youtube.com/@AlaskaSeaLifeCenter,https://x.com/AlaskaSeaLife,5,Uses parent-organization accounts; filter wildlife response posts,Major marine wildlife rehabilitation and research center,https://www.alaskasealife.org/,"""Alaska SeaLife Center Wildlife Response"" wildlife rehabilitation official social media",,,,,,,,
41,B,Bird Treatment and Learning Center,Anchorage,AK,Bird hospital / education,Wild birds and raptors; rehab and education,https://www.birdtlc.org/,,@BirdTLC,https://www.facebook.com/BirdTLC,@bird_tlc,https://www.instagram.com/bird_tlc/,@birdtlc,https://www.tiktok.com/@birdtlc,@BirdTLC,https://www.youtube.com/@BirdTLC,,4,High-confidence official seed; verify platform-specific URLs,Northern avian rehab perspective; strong education potential,https://www.birdtlc.org/,"""Bird Treatment and Learning Center"" wildlife rehabilitation official social media",,,,,,,,
42,B,Teton Raptor Center,Wilson,WY,Raptor center / rehab,"Raptor rehabilitation, research, education",https://tetonraptorcenter.org/,,@TetonRaptorCenter,https://www.facebook.com/TetonRaptorCenter,@tetonraptorcenter,https://www.instagram.com/tetonraptorcenter/,@tetonraptorcenter,https://www.tiktok.com/@tetonraptorcenter,@TetonRaptorCenter,https://www.youtube.com/@TetonRaptorCenter,https://x.com/TetonRaptor,5,High-confidence official seed; verify platform-specific URLs,High-quality raptor education and rehab content,https://tetonraptorcenter.org/,"""Teton Raptor Center"" wildlife rehabilitation official social media",,,,,,,,
43,B,Ohio Wildlife Center,Powell,OH,Wildlife hospital / rehab,Ohio native wildlife; hospital and education,https://www.ohiowildlifecenter.org/,,@OhioWildlifeCenter,https://www.facebook.com/OhioWildlifeCenter,@ohiowildlifecenter,https://www.instagram.com/ohiowildlifecenter/,@ohiowildlifecenter,https://www.tiktok.com/@ohiowildlifecenter,@OhioWildlifeCenter,https://www.youtube.com/@OhioWildlifeCenter,,4,High-confidence official seed; verify platform-specific URLs,Major Ohio wildlife hospital and public education source,https://www.ohiowildlifecenter.org/,"""Ohio Wildlife Center"" wildlife rehabilitation official social media",,,,,,,,
44,B,Back to the Wild,Castalia,OH,Wildlife rehabilitation / education,"Native wildlife rescue, rehab, release, education",https://backtothewild.org/,,@BackToTheWildCastalia,https://www.facebook.com/BackToTheWildCastalia,@backtothewildohio,https://www.instagram.com/backtothewildohio/,@backtothewildohio,https://www.tiktok.com/@backtothewildohio,@BackToTheWildOhio,https://www.youtube.com/@BackToTheWildOhio,,4,High-confidence official seed; verify platform-specific URLs,Recognized Midwest wildlife rehab with strong visual content,https://backtothewild.org/,"""Back to the Wild"" wildlife rehabilitation official social media",,,,,,,,
45,B,Lake Erie Nature & Science Center Wildlife Rehabilitation,Bay Village,OH,Wildlife rehabilitation center,Ohio wildlife; rehab within nature/science center,https://www.lensc.org/wildlife/,,@LakeErieNatureScienceCenter,https://www.facebook.com/LakeErieNatureScienceCenter,@lenaturecenter,https://www.instagram.com/lenaturecenter/,@lenaturecenter,https://www.tiktok.com/@lenaturecenter,@LakeErieNatureScienceCenter,https://www.youtube.com/@LakeErieNatureScienceCenter,,4,Uses parent organization accounts; filter wildlife posts,Important Ohio rehab operation with education content,https://www.lensc.org/wildlife/,"""Lake Erie Nature & Science Center Wildlife Rehabilitation"" wildlife rehabilitation official social media",,,,,,,,
